time_to_send
-548021573681981.56
-547959175216748.56
-548382959663128.19
3242.54
2307.23
-548248334751926.31
-547774953597767.31
405682.87
13441.97
268279.03
23688.26
12099.75
4982.05
4914.98
4979.71
5007.82
4977.71
4967.11
3560.36
4993.90
4974.78
5000.88
4994.59
4958.97
4987.19
4967.32
4969.61
5021.88
5009.53
5001.34
4946.38
4938.70
4957.28
4929.98
3822.32
3237.22
5021.12
4931.85
5697.71
4947.27
5001.79
4966.66
4923.07
21358.64
4990.05
4933.32
4999.84
3240.19
-548611335200336.56
4930.69
5004.13
-547833799684117.81
6171.86
5035.81
5015.09
4811.16
2649.52
4938.80
4828.80
2733.63
